緯度情報,経度情報,愛工大からの距離,データ名
35.1878758049686,137.111675951537,0.0046679315032811175,あいち海上の森センター
35.1878758049686,137.111675951537,0.0046679315032811175,あいち海上（かいしょ）の森センター
35.1865401149079,137.108360772629,0.00562999157501371,２００５年記念と長久手
35.1728640949448,137.09022298919,0.02513891825060077,愛・地球博記念公園（モリコロパーク）
35.1751886214629,137.088332448495,0.026041970694130535,愛地球博記念公園
35.2141380961918,137.100168870188,0.03331359472242701,瀬戸市南公園・萩殿の森
35.2188885801691,137.099967270366,0.0378089868942469,瀬戸市南公園
35.2246255809453,137.107344846216,0.04160527840022829,瀬戸染付工芸館
35.2069210635351,137.077582446767,0.04254455885652614,瀬戸グリーンセンター とれたて館
35.2246950851413,137.102236524104,0.0426735603605308,新世紀工芸館
35.2255236588815,137.100840692675,0.04384340804860021,瀬戸蔵
35.2301678232792,137.104143808277,0.04759479325029075,ノベルティ・こども創造館
35.149160826289,137.149369481289,0.04992844643485909,うめこう桃梨苺園
35.1851565490319,137.061761770772,0.05130978860984909,あぐりん村
35.1844792594146,137.060379147089,0.05267356224862521,長久手温泉ござらっせ
35.2404677022384,137.115782820766,0.057121300600749964,道の駅瀬戸しなの
35.130521095742,137.087332825869,0.05880837867434257,愛知牧場
35.2011664913185,137.170993717769,0.060610461497594866,猿投山と菊石
35.2011664913185,137.170993717769,0.060610461497594866,猿投山・菊石
35.2400888168362,137.144867253063,0.06500070763908568,岩屋堂公園
35.18288120438,137.047984925445,0.06505914151446458,長久手グリーンセンター
35.2401699521678,137.144900194208,0.06508758207971202,岩谷堂公園
35.1734347028281,137.04865737242,0.06515303401620955,長久手市郷土資料室
35.1984573579264,137.038353031985,0.07618913165534111,尾張旭産直センター
35.1163851766443,137.073139124886,0.07800546981926317,愛知池
35.160644265585,137.190146284752,0.08039567765437744,愛知県緑化センター・昭和の森
35.2410276257278,137.051559187448,0.08425948744533428,森林公園
35.2152114202732,137.034866636054,0.08439527417463327,尾張旭グリーンセンター
35.205408853002,137.195837339875,0.08566759951920357,しだれ桜（金剛寺）
35.2054178169797,137.196046018847,0.0858715955611737,金剛寺のしだれ桜
35.2253181742443,137.036355323914,0.08738959680168301,維摩（いま）池
35.1314435252152,137.038194893687,0.09111979759035857,農産振興クラブ及び日進野菜研究会
35.2202251292729,137.028311518963,0.09238197460722446,城山公園
35.2511851459818,137.049819542991,0.09268354024759141,東谷山フルーツパーク
35.2212605732742,137.027255196074,0.09376490777466369,長池
35.0928135577047,137.087939689485,0.09401188732543757,三好公園
35.278864637331,137.090618189077,0.09805095922012864,定光寺
35.1203857483783,137.188214713392,0.09809834594573595,枝下（しだれ）用水
35.0973388934808,137.05373581541,0.10452667489471833,東郷町文化産業まつり
35.0829792087598,137.075875027158,0.10708950539762767,保田ケ池公園
35.2635716014413,137.041547697065,0.10741019827158145,グリーンプラザ高蔵寺
35.0805407314376,137.08207361436,0.10743171673051266,グリーンステーション三好
35.0844008724033,137.154877474785,0.10748701461130442,ＪＡあいち豊田各産直店
35.0804070532837,137.151741728857,0.110035162578176,七州城址公園
35.0804070532837,137.151741728857,0.110035162578176,七州城址(しちしゅうじょうし)公園＆豊田市美術館
35.0752638403375,137.09064308794,0.11044353525394307,さんさんの郷
35.0752638403375,137.09064308794,0.11044353525394307,緑と花のセンター「さんさんの郷」
35.0875814184627,137.049844976154,0.11479281281356386,東郷グリーンセンター
35.0992483331067,137.026267635535,0.12088560486624637,涼松（すずみまつ）せせらぎの道
35.0989596129162,137.026048757954,0.12124374717150305,涼松せせらぎの道
35.2686288613205,137.025371499545,0.12226192572732923,不二緑化センター
35.1141216757931,137.010938058726,0.1233951828386188,名古屋市農業センター delaふぁーむ
35.1141216757931,137.010938058726,0.1233951828386188,名古屋市農業センター
35.0893373505268,137.198197800037,0.12689209831394635,自然観察の森
35.1174713069988,137.224232129513,0.12927284521100668,鷹見の里（たきみのさと）ビオトープ
35.3036911204408,137.056858640841,0.13275382221289891,春日井市都市緑化植物園(グリーンピア春日井)
35.3036911204408,137.056858640841,0.13275382221289891,都市緑化植物園
35.3043567280592,137.055274276822,0.1340323735337854,少年自然の家
